D: 1.35271430, G: 1.07740355, G_cls: 0.64708412
D: 1.45630074, G: 1.06968772, G_cls: 0.58693540
D: 1.53782463, G: 1.22207689, G_cls: 0.71152872
D: 1.41091990, G: 1.10021484, G_cls: 0.68879128
D: 1.40309393, G: 1.16897655, G_cls: 0.65151978
D: 1.32645965, G: 1.28115392, G_cls: 0.76469690
D: 1.32239330, G: 1.24054873, G_cls: 0.74916059
D: 1.34421742, G: 1.48313344, G_cls: 0.78746557
D: 1.38282442, G: 1.13237095, G_cls: 0.67709410
D: 1.34517550, G: 1.34804654, G_cls: 0.73143905
D: 1.40560746, G: 1.10405779, G_cls: 0.64755309
D: 1.46815705, G: 1.20405316, G_cls: 0.73375380
D: 1.38827848, G: 1.23091602, G_cls: 0.74576497
D: 1.42355609, G: 1.24342656, G_cls: 0.69956809
D: 1.41971457, G: 1.13429904, G_cls: 0.69561589
D: 1.34967101, G: 1.17084074, G_cls: 0.67137253
D: 1.43021047, G: 1.13323951, G_cls: 0.65845424
D: 1.38410258, G: 1.19122970, G_cls: 0.74399853
D: 1.39687943, G: 1.25706506, G_cls: 0.75339240
D: 1.40885007, G: 1.15418053, G_cls: 0.71289551
D: 1.39386058, G: 1.31558275, G_cls: 0.69958031
D: 1.42222416, G: 1.31965351, G_cls: 0.76863599
D: 1.48218226, G: 1.10955751, G_cls: 0.67245436
D: 1.33364391, G: 1.20505130, G_cls: 0.75718105
D: 1.37507796, G: 1.07649493, G_cls: 0.64390260
D: 1.37272143, G: 1.11786330, G_cls: 0.67292315
D: 1.34385836, G: 1.10086107, G_cls: 0.69928658
D: 1.39872992, G: 1.24212766, G_cls: 0.71093196
D: 1.32545424, G: 1.25114512, G_cls: 0.79910886
D: 1.41028380, G: 1.10735834, G_cls: 0.66175127
D: 1.29285562, G: 1.13334167, G_cls: 0.74368447
D: 1.25852108, G: 1.26164746, G_cls: 0.70627838
D: 1.45247293, G: 1.06447089, G_cls: 0.65930307
D: 1.42727900, G: 1.08693075, G_cls: 0.65144008
D: 1.31741714, G: 1.47488093, G_cls: 0.78331983
D: 1.41034138, G: 1.24933052, G_cls: 0.73924649
D: 1.35282683, G: 1.04298389, G_cls: 0.64599168
D: 1.37834287, G: 1.27754498, G_cls: 0.76565957
D: 1.35905862, G: 1.16092038, G_cls: 0.68899137
D: 1.46495652, G: 1.26480889, G_cls: 0.73925811
D: 1.34521902, G: 1.14174390, G_cls: 0.64068919
D: 1.31000042, G: 1.24107838, G_cls: 0.71985489
D: 1.56077695, G: 1.19098759, G_cls: 0.74739516
D: 1.51883483, G: 1.19105136, G_cls: 0.73707360
D: 1.47622514, G: 1.04858327, G_cls: 0.60658067
D: 1.37090802, G: 1.08284140, G_cls: 0.69579309
D: 1.49119699, G: 1.31567073, G_cls: 0.81884253
D: 1.43160319, G: 1.26810837, G_cls: 0.67867768
D: 1.45382476, G: 1.15471601, G_cls: 0.71445131
D: 1.44837403, G: 1.18150389, G_cls: 0.71290177
D: 1.43144774, G: 1.15386629, G_cls: 0.70651853
D: 1.44781387, G: 1.11637628, G_cls: 0.74205792
D: 1.36341453, G: 1.09899974, G_cls: 0.66495609
D: 1.40195489, G: 1.10018885, G_cls: 0.67923862
D: 1.38557816, G: 1.08016562, G_cls: 0.67142469
D: 1.35981011, G: 1.11921275, G_cls: 0.69505340
D: 1.40702724, G: 1.12714553, G_cls: 0.70505989
D: 1.39749801, G: 1.01371694, G_cls: 0.64267623
D: 1.42693031, G: 1.15910554, G_cls: 0.69974691
D: 1.37944305, G: 1.13160515, G_cls: 0.66668683
D: 1.34385514, G: 1.15362644, G_cls: 0.74766827
D: 1.33922791, G: 1.15805984, G_cls: 0.71145517
